executionStartTime,executionEndTime,executionLatency,containerId,hostId,statusCode,requestResponseLatency,requestTime,responseTime,requestId,replicas,n3CpuUsage,n3MemoryUsage,n4CpuUsage,n4MemoryUsage,n2CpuUsage,n2MemoryUsage,n1CpuUsage,n1MemoryUsage,cpCpuUsage,cpMemoryUsage,functionInvocationRate,schedulingLatency
1621017078.9267812,1621017080.9451416,2.0183603763580322,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,2.2360000610351562,1621017078.746,1621017080.982,011b8cc4-3c91-4301-9a7c-2fe5a38d45a9,1,228125443n,1402608Ki,252949613n,1335196Ki,340951765n,1283360Ki,269119727n,1318632Ki,417526874n,1845464Ki,0,0.18078112602233887
1621017083.9569907,1621017085.8604162,1.9034254550933838,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,2.125,1621017083.771,1621017085.896,43180b1c-a6d0-4adf-b4f1-99a0e8c40d6d,1,228125443n,1402608Ki,252949613n,1335196Ki,340951765n,1283360Ki,269119727n,1318632Ki,417526874n,1845464Ki,0,0.1859908103942871
1621017088.898414,1621017091.1224983,2.2240843772888184,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,2.4110000133514404,1621017088.756,1621017091.167,583e1e12-af3d-4c86-8126-8d69f026d238,1,228125443n,1402608Ki,252949613n,1335196Ki,340951765n,1283360Ki,269119727n,1318632Ki,417526874n,1845464Ki,154m,0.14241385459899902
1621017093.9748309,1621017096.7181354,2.743304491043091,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,3.0190000534057617,1621017093.74,1621017096.759,6f05a456-141f-4988-b4b7-2fbab56911e4,1,228125443n,1402608Ki,252949613n,1335196Ki,340951765n,1283360Ki,269119727n,1318632Ki,417526874n,1845464Ki,200m,0.2348308563232422
1621017098.9580343,1621017101.9016871,2.943652868270874,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,3.2079999446868896,1621017098.74,1621017101.948,e98d1fd2-2b9e-4b54-bbe9-02104b5f8352,1,228125443n,1402608Ki,252949613n,1335196Ki,340951765n,1283360Ki,269119727n,1318632Ki,417526874n,1845464Ki,200m,0.2180342674255371
1621017103.8713284,1621017105.9287012,2.057372808456421,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,2.2300000190734863,1621017103.74,1621017105.97,35acc34d-1f07-4c93-96f2-6333b97a74a9,1,407236660n,1374632Ki,483026343n,1314276Ki,856481653n,1262312Ki,581454441n,1288972Ki,913504998n,1819084Ki,200m,0.13132834434509277
1621017108.872014,1621017110.8776858,2.005671739578247,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,2.180999994277954,1621017108.74,1621017110.921,532ad5ca-7d8f-4d04-b9bf-671ba584f553,1,407236660n,1374632Ki,483026343n,1314276Ki,856481653n,1262312Ki,581454441n,1288972Ki,913504998n,1819084Ki,200m,0.13201403617858887
1621017113.9078104,1621017116.1504085,2.242598056793213,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,2.4630000591278076,1621017113.74,1621017116.203,3d5bd8eb-0b7d-4c60-858c-65d0d3526065,1,407236660n,1374632Ki,483026343n,1314276Ki,856481653n,1262312Ki,581454441n,1288972Ki,913504998n,1819084Ki,200m,0.16781044006347656
1621017118.9104128,1621017120.8534071,1.9429943561553955,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,2.1600000858306885,1621017118.74,1621017120.9,b6f76e0d-7443-476a-b22d-6c21c2ccfc41,1,407236660n,1374632Ki,483026343n,1314276Ki,856481653n,1262312Ki,581454441n,1288972Ki,913504998n,1819084Ki,200m,0.17041277885437012
1621017123.8881242,1621017126.1058762,2.217751979827881,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,2.4130001068115234,1621017123.74,1621017126.153,f4de08ba-b5b8-431c-ae5b-b283f6df3b49,1,407236660n,1374632Ki,483026343n,1314276Ki,856481653n,1262312Ki,581454441n,1288972Ki,913504998n,1819084Ki,200m,0.14812421798706055
