executionStartTime,executionEndTime,executionLatency,containerId,hostId,statusCode,requestResponseLatency,requestTime,responseTime,requestId,replicas,cpCpuUsage,cpMemoryUsage,n3CpuUsage,n3MemoryUsage,n2CpuUsage,n2MemoryUsage,n4CpuUsage,n4MemoryUsage,n1CpuUsage,n1MemoryUsage,functionInvocationRate,schedulingLatency
1621110307.9094987,1621110309.7070675,1.7975687980651855,f5fb6605-eccd-4121-95ab-9a6cd9fe2243,1621076759,200,1.9830000400543213,1621110307.728,1621110309.711,a7559496-0e1d-4823-9316-002320d4ac5c,1,238339028n,1669572Ki,136780541n,1015388Ki,139097309n,1259852Ki,177668287n,1335640Ki,137491499n,1293084Ki,100m,0.18149876594543457
1621110310.354818,1621110312.2942793,1.9394612312316895,f5fb6605-eccd-4121-95ab-9a6cd9fe2243,1621076759,200,2.068000078201294,1621110310.228,1621110312.296,b0f2695f-bbcd-4d24-ab8a-3ab0d2fefc23,1,238339028n,1669572Ki,136780541n,1015388Ki,139097309n,1259852Ki,177668287n,1335640Ki,137491499n,1293084Ki,200m,0.12681818008422852
1621110312.8804262,1621110314.9211948,2.040768623352051,f5fb6605-eccd-4121-95ab-9a6cd9fe2243,1621076759,200,2.195000171661377,1621110312.728,1621110314.923,a720e4d9-998b-4229-9dd2-5113a8e7edb3,1,238339028n,1669572Ki,136780541n,1015388Ki,139097309n,1259852Ki,177668287n,1335640Ki,137491499n,1293084Ki,200m,0.15242624282836914
1621110315.3733943,1621110317.7841525,2.4107582569122314,f5fb6605-eccd-4121-95ab-9a6cd9fe2243,1621076759,200,2.559999942779541,1621110315.229,1621110317.789,cf284bdd-18b1-4044-ae81-5e68061efd11,1,238339028n,1669572Ki,136780541n,1015388Ki,139097309n,1259852Ki,177668287n,1335640Ki,137491499n,1293084Ki,500m,0.1443941593170166
1621110317.1112921,1621110319.1524658,2.0411736965179443,f5fb6605-eccd-4121-95ab-9a6cd9fe2243,1621076759,200,2.259999990463257,1621110316.896,1621110319.156,03454391-b6e4-44ab-b689-a20ee0177aa4,1,238339028n,1669572Ki,136780541n,1015388Ki,139097309n,1259852Ki,177668287n,1335640Ki,137491499n,1293084Ki,400m,0.21529221534729004
1621110318.7425196,1621110321.1151283,2.3726086616516113,f5fb6605-eccd-4121-95ab-9a6cd9fe2243,1621076759,200,2.557999849319458,1621110318.562,1621110321.12,4e0c8b86-51f1-4256-9cf6-1eb7bef100bc,1,238339028n,1669572Ki,136780541n,1015388Ki,139097309n,1259852Ki,177668287n,1335640Ki,137491499n,1293084Ki,400m,0.18051958084106445
1621110320.4006379,1621110322.7522087,2.3515708446502686,f5fb6605-eccd-4121-95ab-9a6cd9fe2243,1621076759,200,2.5299999713897705,1621110320.229,1621110322.759,da345951-8686-4b0f-8ff6-f849d474f4b7,1,238339028n,1669572Ki,136780541n,1015388Ki,139097309n,1259852Ki,177668287n,1335640Ki,137491499n,1293084Ki,500m,0.17163777351379395
1621110322.1249344,1621110324.7662742,2.6413397789001465,f5fb6605-eccd-4121-95ab-9a6cd9fe2243,1621076759,200,2.873999834060669,1621110321.897,1621110324.771,598c8958-e9ad-4609-b47c-bdd95b4af991,2,271296055n,1674176Ki,277057084n,1031848Ki,139047678n,1260104Ki,217711819n,1341644Ki,1341393357n,1407428Ki,600m,0.2279343605041504
1621110323.3399882,1621110325.8452618,2.5052735805511475,f5fb6605-eccd-4121-95ab-9a6cd9fe2243,1621076759,200,2.7039999961853027,1621110323.147,1621110325.851,6516fbf0-a60d-4f65-92c6-21c95d1c9164,2,271296055n,1674176Ki,277057084n,1031848Ki,139047678n,1260104Ki,217711819n,1341644Ki,1341393357n,1407428Ki,600m,0.19298815727233887
1621110324.7224503,1621110327.3404744,2.6180241107940674,f5fb6605-eccd-4121-95ab-9a6cd9fe2243,1621076759,200,2.947000026702881,1621110324.397,1621110327.344,f7540af1-09f4-4b6f-a3ce-a4935d5b12c8,2,271296055n,1674176Ki,277057084n,1031848Ki,139047678n,1260104Ki,217711819n,1341644Ki,1341393357n,1407428Ki,400m,0.32545018196105957
1621110325.9102094,1621110328.4539738,2.543764352798462,2ceb6eed-f80d-4dea-afb7-b0c5399fe9cb,1621076758,200,2.813999891281128,1621110325.647,1621110328.461,7a4004c8-103b-4f4b-aa5c-7d268196204b,2,271296055n,1674176Ki,277057084n,1031848Ki,139047678n,1260104Ki,217711819n,1341644Ki,1341393357n,1407428Ki,400m,0.26320934295654297
1621110327.0982683,1621110329.451184,2.3529157638549805,2ceb6eed-f80d-4dea-afb7-b0c5399fe9cb,1621076758,200,2.560999870300293,1621110326.897,1621110329.458,e9620769-9a8f-4846-bb4e-7533faccf809,2,271296055n,1674176Ki,277057084n,1031848Ki,139047678n,1260104Ki,217711819n,1341644Ki,1341393357n,1407428Ki,700m,0.20126819610595703
1621110328.341556,1621110330.5780265,2.2364704608917236,f5fb6605-eccd-4121-95ab-9a6cd9fe2243,1621076759,200,2.437999963760376,1621110328.147,1621110330.585,869cc3b9-d040-45a2-8e26-3576e35d6c99,2,271296055n,1674176Ki,277057084n,1031848Ki,139047678n,1260104Ki,217711819n,1341644Ki,1341393357n,1407428Ki,700m,0.19455599784851074
1621110329.5809364,1621110332.4140515,2.8331151008605957,2ceb6eed-f80d-4dea-afb7-b0c5399fe9cb,1621076758,200,3.0339999198913574,1621110329.398,1621110332.432,1b71e742-e86b-4d67-8490-108d54a94d3f,2,271296055n,1674176Ki,277057084n,1031848Ki,139047678n,1260104Ki,217711819n,1341644Ki,1341393357n,1407428Ki,800m,0.182936429977417
1621110330.6547313,1621110334.6870651,4.032333850860596,f5fb6605-eccd-4121-95ab-9a6cd9fe2243,1621076759,200,4.292999982833862,1621110330.398,1621110334.691,bb970b0d-9c71-4e24-90da-94afe1b119c7,2,271296055n,1674176Ki,277057084n,1031848Ki,139047678n,1260104Ki,217711819n,1341644Ki,1341393357n,1407428Ki,899m,0.2567312717437744
1621110331.6395116,1621110335.2121038,3.572592258453369,f5fb6605-eccd-4121-95ab-9a6cd9fe2243,1621076759,200,3.819000005722046,1621110331.399,1621110335.218,ebe5477c-8fbe-4503-8b31-81073d1293a0,2,271296055n,1674176Ki,277057084n,1031848Ki,139047678n,1260104Ki,217711819n,1341644Ki,1341393357n,1407428Ki,899m,0.24051165580749512
1621110332.8793447,1621110336.8577504,3.978405714035034,2ceb6eed-f80d-4dea-afb7-b0c5399fe9cb,1621076758,200,4.51200008392334,1621110332.398,1621110336.91,bbc8ec57-5f15-44a3-82d0-b0b53adb903c,2,271296055n,1674176Ki,277057084n,1031848Ki,139047678n,1260104Ki,217711819n,1341644Ki,1341393357n,1407428Ki,1,0.48134469985961914
