executionStartTime,executionEndTime,executionLatency,containerId,hostId,statusCode,requestResponseLatency,requestTime,responseTime,requestId,replicas,cpCpuUsage,cpMemoryUsage,n3CpuUsage,n3MemoryUsage,n2CpuUsage,n2MemoryUsage,n4CpuUsage,n4MemoryUsage,n1CpuUsage,n1MemoryUsage,functionInvocationRate,schedulingLatency
1621092240.6567771,1621092242.6457956,1.989018440246582,f5fb6605-eccd-4121-95ab-9a6cd9fe2243,1621076759,200,2.247999906539917,1621092238.664,1621092240.912,e4cd94bd-eb81-47cb-b4a0-13e9a5eba007,1,263792656n,1442272Ki,146502935n,1030604Ki,129010304n,1228456Ki,196163213n,1179540Ki,234804149n,1243480Ki,0,1.9927771091461182
1621092243.0391517,1621092244.9383776,1.8992259502410889,f5fb6605-eccd-4121-95ab-9a6cd9fe2243,1621076759,200,2.0379998683929443,1621092241.164,1621092243.202,710032d4-1acc-4d5f-9b51-c0f8bb5d369f,1,263792656n,1442272Ki,146502935n,1030604Ki,129010304n,1228456Ki,196163213n,1179540Ki,234804149n,1243480Ki,100m,1.8751516342163086
1621092245.5832543,1621092247.7056344,2.122380018234253,f5fb6605-eccd-4121-95ab-9a6cd9fe2243,1621076759,200,2.305999994277954,1621092243.665,1621092245.971,f9076ca5-d701-47d1-8a8a-2302c5d08d84,1,263792656n,1442272Ki,146502935n,1030604Ki,129010304n,1228456Ki,196163213n,1179540Ki,234804149n,1243480Ki,200m,1.9182543754577637
1621092248.0856497,1621092250.1559453,2.070295572280884,f5fb6605-eccd-4121-95ab-9a6cd9fe2243,1621076759,200,2.261000156402588,1621092246.165,1621092248.426,5054d5e1-42c0-494f-9956-3705cd067e23,1,263792656n,1442272Ki,146502935n,1030604Ki,129010304n,1228456Ki,196163213n,1179540Ki,234804149n,1243480Ki,200m,1.920649766921997
1621092249.8437793,1621092252.291021,2.44724178314209,f5fb6605-eccd-4121-95ab-9a6cd9fe2243,1621076759,200,2.7290000915527344,1621092247.832,1621092250.561,943801f5-5901-4125-8db4-16cd56299e69,1,263792656n,1442272Ki,146502935n,1030604Ki,129010304n,1228456Ki,196163213n,1179540Ki,234804149n,1243480Ki,300m,2.011779308319092
1621092251.436834,1621092254.4176912,2.9808571338653564,f5fb6605-eccd-4121-95ab-9a6cd9fe2243,1621076759,200,3.190000057220459,1621092249.498,1621092252.688,ff5f8808-738b-4c27-a9fb-c1505734e457,1,263792656n,1442272Ki,146502935n,1030604Ki,129010304n,1228456Ki,196163213n,1179540Ki,234804149n,1243480Ki,500m,1.9388341903686523
1621092253.2614017,1621092255.7268639,2.4654622077941895,f5fb6605-eccd-4121-95ab-9a6cd9fe2243,1621076759,200,2.8429999351501465,1621092251.165,1621092254.008,0b488587-ef2d-4974-b4cf-c2beae12e36b,1,263792656n,1442272Ki,146502935n,1030604Ki,129010304n,1228456Ki,196163213n,1179540Ki,234804149n,1243480Ki,399m,2.0964016914367676
1621092254.8069592,1621092257.0073574,2.2003982067108154,f5fb6605-eccd-4121-95ab-9a6cd9fe2243,1621076759,200,2.4579999446868896,1621092252.832,1621092255.29,4b59040f-720c-48d8-b565-2c37568023e7,1,263792656n,1442272Ki,146502935n,1030604Ki,129010304n,1228456Ki,196163213n,1179540Ki,234804149n,1243480Ki,399m,1.974959135055542
1621092256.0214608,1621092258.6447442,2.6232833862304688,f5fb6605-eccd-4121-95ab-9a6cd9fe2243,1621076759,200,2.8400001525878906,1621092254.083,1621092256.923,9afba47e-46d8-4458-a318-4e3256d6ad38,1,263792656n,1442272Ki,146502935n,1030604Ki,129010304n,1228456Ki,196163213n,1179540Ki,234804149n,1243480Ki,499m,1.9384608268737793
1621092257.3390949,1621092260.6021647,3.2630698680877686,f5fb6605-eccd-4121-95ab-9a6cd9fe2243,1621076759,200,3.5439999103546143,1621092255.334,1621092258.878,b1993e2b-09b6-488a-b6d5-9a961a10fce6,1,263792656n,1442272Ki,146502935n,1030604Ki,129010304n,1228456Ki,196163213n,1179540Ki,234804149n,1243480Ki,600m,2.0050947666168213
1621092258.8872626,1621092262.2239623,3.3366997241973877,f5fb6605-eccd-4121-95ab-9a6cd9fe2243,1621076759,200,3.9190001487731934,1621092256.583,1621092260.502,a4e2dce0-8aa4-4fe1-b798-3a654b3069a4,1,263792656n,1442272Ki,146502935n,1030604Ki,129010304n,1228456Ki,196163213n,1179540Ki,234804149n,1243480Ki,600m,2.304262638092041
1621092260.170542,1621092264.3916361,4.221094131469727,f5fb6605-eccd-4121-95ab-9a6cd9fe2243,1621076759,200,4.855999946594238,1621092257.833,1621092262.689,995cc155-6f2c-4bd0-9d15-b549d76fea02,1,400220764n,1442316Ki,221775089n,1052636Ki,156172263n,1229956Ki,253154642n,1179532Ki,1856115025n,1415448Ki,700m,2.3375420570373535
1621092262.370262,1621092265.9015927,3.5313308238983154,c4591959-f4bc-4ef7-9774-7854f9d84cc3,1621076758,200,3.871000051498413,1621092260.333,1621092264.204,dc067783-1b30-494c-87a9-1c01f5ae9d9a,2,400220764n,1442316Ki,221775089n,1052636Ki,156172263n,1229956Ki,253154642n,1179532Ki,1856115025n,1415448Ki,700m,2.037261962890625
1621092261.458319,1621092266.1432126,4.684893608093262,f5fb6605-eccd-4121-95ab-9a6cd9fe2243,1621076759,200,5.361999988555908,1621092259.083,1621092264.445,112c9909-8e2b-47fa-a5fa-0d49f66c6009,2,400220764n,1442316Ki,221775089n,1052636Ki,156172263n,1229956Ki,253154642n,1179532Ki,1856115025n,1415448Ki,700m,2.375319004058838
1621092263.3601499,1621092267.8567488,4.496598958969116,f5fb6605-eccd-4121-95ab-9a6cd9fe2243,1621076759,200,4.819999933242798,1621092261.334,1621092266.154,46e93c0d-86cf-41b4-b120-2ae910a71235,2,400220764n,1442316Ki,221775089n,1052636Ki,156172263n,1229956Ki,253154642n,1179532Ki,1856115025n,1415448Ki,700m,2.0261497497558594
1621092264.3811932,1621092269.621393,5.24019980430603,c4591959-f4bc-4ef7-9774-7854f9d84cc3,1621076758,200,5.5909998416900635,1621092262.334,1621092267.925,9d74ceeb-442e-4964-a35c-4df5b4bae54b,2,400220764n,1442316Ki,221775089n,1052636Ki,156172263n,1229956Ki,253154642n,1179532Ki,1856115025n,1415448Ki,899m,2.0471930503845215
1621092265.6584167,1621092271.2559752,5.597558498382568,c4591959-f4bc-4ef7-9774-7854f9d84cc3,1621076758,200,6.21999979019165,1621092263.334,1621092269.554,10a3b439-765e-49a3-a03b-765d23d56cb4,2,400220764n,1442316Ki,221775089n,1052636Ki,156172263n,1229956Ki,253154642n,1179532Ki,1856115025n,1415448Ki,999m,2.3244166374206543
1621092266.5251052,1621092271.845806,5.320700645446777,f5fb6605-eccd-4121-95ab-9a6cd9fe2243,1621076759,200,5.935999870300293,1621092264.334,1621092270.27,86a0f249-70d3-4f3e-a7f6-d966ed10cc0e,2,400220764n,1442316Ki,221775089n,1052636Ki,156172263n,1229956Ki,253154642n,1179532Ki,1856115025n,1415448Ki,999m,2.1911051273345947
1621092268.4389293,1621092275.8122501,7.373320817947388,f5fb6605-eccd-4121-95ab-9a6cd9fe2243,1621076759,200,7.764999866485596,1621092266.334,1621092274.099,edc26560-e8d9-4d2a-ac58-633120828e57,2,400220764n,1442316Ki,221775089n,1052636Ki,156172263n,1229956Ki,253154642n,1179532Ki,1856115025n,1415448Ki,1199m,2.104929208755493
1621092267.490831,1621092276.770002,9.279170989990234,c4591959-f4bc-4ef7-9774-7854f9d84cc3,1621076758,200,9.733999967575073,1621092265.334,1621092275.068,12ad230c-0b69-4a35-9f4f-bd96ca1b919a,2,400220764n,1442316Ki,221775089n,1052636Ki,156172263n,1229956Ki,253154642n,1179532Ki,1856115025n,1415448Ki,1199m,2.1568307876586914
