executionStartTime,executionEndTime,executionLatency,containerId,hostId,statusCode,requestResponseLatency,requestTime,responseTime,requestId,replicas,n3CpuUsage,n3MemoryUsage,n4CpuUsage,n4MemoryUsage,n2CpuUsage,n2MemoryUsage,n1CpuUsage,n1MemoryUsage,cpCpuUsage,cpMemoryUsage,functionInvocationRate,schedulingLatency
1621018372.697172,1621018374.7151036,2.0179316997528076,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,2.2150001525878906,1621018372.495,1621018374.71,817cbcf4-c3b1-43a4-81fa-aba182e47b19,1,170650419n,1054420Ki,223241802n,1366512Ki,328132458n,1306744Ki,225530271n,1131628Ki,308981339n,1753744Ki,0,0.20217204093933105
1621018377.7120116,1621018379.7953856,2.0833740234375,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,2.2720000743865967,1621018377.516,1621018379.788,da4136be-6e50-41bb-8bd2-5570ccda77f8,1,170650419n,1054420Ki,223241802n,1366512Ki,328132458n,1306744Ki,225530271n,1131628Ki,308981339n,1753744Ki,200m,0.19601154327392578
1621018382.7271473,1621018384.4654846,1.7383372783660889,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,1.9619998931884766,1621018382.496,1621018384.458,d32b0e40-6e0c-4567-a844-83d4d526d5f0,1,170650419n,1054420Ki,223241802n,1366512Ki,328132458n,1306744Ki,225530271n,1131628Ki,308981339n,1753744Ki,200m,0.23114728927612305
1621018387.6807904,1621018389.5835698,1.9027793407440186,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,2.0850000381469727,1621018387.49,1621018389.575,07b4238f-be42-45ad-aeff-ca6610027a6d,1,170650419n,1054420Ki,223241802n,1366512Ki,328132458n,1306744Ki,225530271n,1131628Ki,308981339n,1753744Ki,100m,0.19079041481018066
1621018392.6650698,1621018394.7308025,2.065732717514038,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,2.2309999465942383,1621018392.49,1621018394.721,f9dee8d5-78ef-4df3-bedd-c70e31a145f7,1,170650419n,1054420Ki,223241802n,1366512Ki,328132458n,1306744Ki,225530271n,1131628Ki,308981339n,1753744Ki,200m,0.17506980895996094
1621018397.6772742,1621018399.5842052,1.906930923461914,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,2.0850000381469727,1621018397.49,1621018399.575,15a36bcf-4d31-4275-9c3d-f3844b174bdd,1,170650419n,1054420Ki,223241802n,1366512Ki,328132458n,1306744Ki,225530271n,1131628Ki,308981339n,1753744Ki,300m,0.18727421760559082
1621018402.664684,1621018404.4773405,1.8126564025878906,8a0bd04b-c170-455e-a317-618574fa35cc,1620998457,200,2.00600004196167,1621018402.49,1621018404.496,56edc084-a5fa-48d9-8eae-fcf577979249,1,170650419n,1054420Ki,223241802n,1366512Ki,328132458n,1306744Ki,225530271n,1131628Ki,308981339n,1753744Ki,200m,0.1746840476989746
1621018407.6878598,1621018409.668898,1.9810383319854736,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,2.1679999828338623,1621018407.49,1621018409.658,7045099c-c5bc-4c83-a203-2880ac3970c3,2,170650419n,1054420Ki,223241802n,1366512Ki,328132458n,1306744Ki,225530271n,1131628Ki,308981339n,1753744Ki,100m,0.1978597640991211
1621018412.6646242,1621018414.5363815,1.8717572689056396,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,2.0369999408721924,1621018412.49,1621018414.527,dace2663-4e49-49f2-96d0-9f2550906fcd,2,170650419n,1054420Ki,223241802n,1366512Ki,328132458n,1306744Ki,225530271n,1131628Ki,308981339n,1753744Ki,200m,0.17462420463562012
1621018417.6883278,1621018419.6443381,1.956010341644287,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,2.1440000534057617,1621018417.49,1621018419.634,fbdb0b8c-ec38-45d7-977d-2a04a80d34cb,2,170650419n,1054420Ki,223241802n,1366512Ki,328132458n,1306744Ki,225530271n,1131628Ki,308981339n,1753744Ki,300m,0.19832777976989746
