executionStartTime,executionEndTime,executionLatency,containerId,hostId,statusCode,requestResponseLatency,requestTime,responseTime,requestId,replicas,cpCpuUsage,cpMemoryUsage,n3CpuUsage,n3MemoryUsage,n4CpuUsage,n4MemoryUsage,n2CpuUsage,n2MemoryUsage,n1CpuUsage,n1MemoryUsage,functionInvocationRate,schedulingLatency
1621019650.0021677,1621019651.8214474,1.819279670715332,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,1.9779999256134033,1621019649.801,1621019651.779,288f3c91-fbcc-4ad7-9817-b943af375ab3,1,198434967n,1820164Ki,126834824n,1126768Ki,180745149n,1346980Ki,224077158n,1310656Ki,158239497n,1154076Ki,0,0.20116758346557617
1621019655.013339,1621019656.8580594,1.8447203636169434,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,2.003000020980835,1621019654.804,1621019656.807,7bdb8377-6607-4534-a44a-b01e05e07424,1,198434967n,1820164Ki,126834824n,1126768Ki,180745149n,1346980Ki,224077158n,1310656Ki,158239497n,1154076Ki,200m,0.20933914184570312
1621019659.9800081,1621019661.865006,1.884997844696045,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,2.0149998664855957,1621019659.799,1621019661.814,b6c9f379-74ca-470a-9330-6de4556089fe,1,198434967n,1820164Ki,126834824n,1126768Ki,180745149n,1346980Ki,224077158n,1310656Ki,158239497n,1154076Ki,300m,0.18100810050964355
1621019664.9803176,1621019666.7913063,1.8109886646270752,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,1.940999984741211,1621019664.799,1621019666.74,c2a27c1a-c97f-4a37-b2b4-7b68fb98c4ff,1,198434967n,1820164Ki,126834824n,1126768Ki,180745149n,1346980Ki,224077158n,1310656Ki,158239497n,1154076Ki,100m,0.18131756782531738
1621019669.9928007,1621019671.917584,1.9247832298278809,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,2.066999912261963,1621019669.799,1621019671.866,ee372a65-0cf5-4776-b749-8b07aa16a954,1,198434967n,1820164Ki,126834824n,1126768Ki,180745149n,1346980Ki,224077158n,1310656Ki,158239497n,1154076Ki,100m,0.193800687789917
1621019674.978443,1621019676.8432066,1.8647637367248535,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,1.991999864578247,1621019674.799,1621019676.791,552b51e9-e850-4670-8359-9d574fc87d4f,2,198434967n,1820164Ki,126834824n,1126768Ki,180745149n,1346980Ki,224077158n,1310656Ki,158239497n,1154076Ki,300m,0.1794428825378418
1621019679.9556642,1621019681.8171456,1.8614814281463623,73a5c90e-0fb6-4161-8e8b-1db97b43e3b0,1620998457,200,2.0209999084472656,1621019679.799,1621019681.82,a12e1edf-de58-42b9-8abb-ce37486cb6d2,2,198434967n,1820164Ki,126834824n,1126768Ki,180745149n,1346980Ki,224077158n,1310656Ki,158239497n,1154076Ki,300m,0.15666413307189941
1621019684.9870815,1621019686.7972603,1.8101787567138672,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,1.9459998607635498,1621019684.799,1621019686.745,5ad5d30f-81e4-4129-ac0c-1b52279752c0,2,627365819n,1820800Ki,155776214n,1134184Ki,207247791n,1347316Ki,264641517n,1311092Ki,153782291n,1156852Ki,200m,0.1880815029144287
1621019689.9849105,1621019691.893851,1.9089405536651611,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,2.0429999828338623,1621019689.799,1621019691.842,95e336d2-20d5-41e1-be26-7974fa30f0f1,2,627365819n,1820800Ki,155776214n,1134184Ki,207247791n,1347316Ki,264641517n,1311092Ki,153782291n,1156852Ki,200m,0.18591046333312988
1621019694.9507816,1621019696.764373,1.813591480255127,73a5c90e-0fb6-4161-8e8b-1db97b43e3b0,1620998457,200,1.9670000076293945,1621019694.799,1621019696.766,ce0bb686-2c3f-4d87-bb31-ec026fa33437,2,627365819n,1820800Ki,155776214n,1134184Ki,207247791n,1347316Ki,264641517n,1311092Ki,153782291n,1156852Ki,200m,0.15178155899047852
1621019699.9234352,1621019701.822138,1.89870285987854,73a5c90e-0fb6-4161-8e8b-1db97b43e3b0,1620998457,200,2.0249998569488525,1621019699.799,1621019701.824,688ee357-def8-4b16-8eab-57ba2c08100c,2,627365819n,1820800Ki,155776214n,1134184Ki,207247791n,1347316Ki,264641517n,1311092Ki,153782291n,1156852Ki,200m,0.1244351863861084
1621019704.9936874,1621019706.7767115,1.7830240726470947,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,1.9259998798370361,1621019704.799,1621019706.725,7a19eacd-8cc4-493c-b7ef-7fba07192fab,2,627365819n,1820800Ki,155776214n,1134184Ki,207247791n,1347316Ki,264641517n,1311092Ki,153782291n,1156852Ki,199m,0.1946873664855957
1621019707.4903097,1621019709.2943234,1.804013729095459,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,1.943000078201294,1621019707.3,1621019709.243,e5355ed1-c650-48cd-b4d0-82558c7147aa,2,627365819n,1820800Ki,155776214n,1134184Ki,207247791n,1347316Ki,264641517n,1311092Ki,153782291n,1156852Ki,199m,0.19030976295471191
1621019709.9972415,1621019712.0054321,2.008190631866455,e68ebf36-efd1-4bfe-a08a-4d57960210b5,1621014977,200,2.1530001163482666,1621019709.8,1621019711.953,42d6e7e2-b988-487a-b41d-38a523d4aca6,2,627365819n,1820800Ki,155776214n,1134184Ki,207247791n,1347316Ki,264641517n,1311092Ki,153782291n,1156852Ki,299m,0.19724154472351074
1621019712.4409332,1621019714.402955,1.962021827697754,73a5c90e-0fb6-4161-8e8b-1db97b43e3b0,1620998457,200,2.1070001125335693,1621019712.3,1621019714.407,9bd74e2b-fadb-4c87-8e9d-cf1b9db79ac3,2,627365819n,1820800Ki,155776214n,1134184Ki,207247791n,1347316Ki,264641517n,1311092Ki,153782291n,1156852Ki,299m,0.14093327522277832
1621019714.9286356,1621019716.8971484,1.968512773513794,73a5c90e-0fb6-4161-8e8b-1db97b43e3b0,1620998457,200,2.1000001430511475,1621019714.8,1621019716.9,18bed727-6651-4e5e-a068-0163d848f6f3,2,627365819n,1820800Ki,155776214n,1134184Ki,207247791n,1347316Ki,264641517n,1311092Ki,153782291n,1156852Ki,300m,0.12863564491271973
