executionStartTime,executionEndTime,executionLatency,containerId,hostId,statusCode,requestResponseLatency,requestTime,responseTime,requestId,replicas,s-4vcpu-8gb-10-default-pool-8tonrCpuUsage,s-4vcpu-8gb-10-default-pool-8tonrMemoryUsage,s-4vcpu-8gb-10-default-pool-8toneCpuUsage,s-4vcpu-8gb-10-default-pool-8toneMemoryUsage,s-4vcpu-8gb-10-default-pool-8tontCpuUsage,s-4vcpu-8gb-10-default-pool-8tontMemoryUsage,s-4vcpu-8gb-10-default-pool-8ton2CpuUsage,s-4vcpu-8gb-10-default-pool-8ton2MemoryUsage,s-4vcpu-8gb-10-default-pool-8tonlCpuUsage,s-4vcpu-8gb-10-default-pool-8tonlMemoryUsage,s-4vcpu-8gb-10-default-pool-8tonwCpuUsage,s-4vcpu-8gb-10-default-pool-8tonwMemoryUsage,s-4vcpu-8gb-10-default-pool-8tonbCpuUsage,s-4vcpu-8gb-10-default-pool-8tonbMemoryUsage,s-4vcpu-8gb-10-default-pool-8tongCpuUsage,s-4vcpu-8gb-10-default-pool-8tongMemoryUsage,s-4vcpu-8gb-10-default-pool-8ton6CpuUsage,s-4vcpu-8gb-10-default-pool-8ton6MemoryUsage,s-4vcpu-8gb-10-default-pool-8tonaCpuUsage,s-4vcpu-8gb-10-default-pool-8tonaMemoryUsage,functionInvocationRate,schedulingLatency
1624502504.5964043,1624502508.4247687,3.828364372253418,9c0014ba-512c-49a1-b301-168f0852e9ba,1624502075,200,4.206000089645386,1624502504.263,1624502508.469,b80a3b21-0240-4180-9f88-04398dcf6b9b,14,54386673n,782592Ki,45694837n,764244Ki,50222630n,763676Ki,39883314n,723796Ki,51296387n,783668Ki,49208874n,785896Ki,59005101n,755944Ki,63895787n,838720Ki,99096941n,781104Ki,88443035n,821708Ki,,0.3334043025970459
1624502506.8102207,1624502509.4714603,2.6612396240234375,f5b37a8a-a16d-40c2-a79b-19f42b41dca7,1624502044,200,2.9800000190734863,1624502506.592,1624502509.572,b8950f6b-1e85-4e4a-8832-74c30e550fe5,14,54386673n,782592Ki,45694837n,764244Ki,50222630n,763676Ki,39883314n,723796Ki,51296387n,783668Ki,49208874n,785896Ki,59005101n,755944Ki,63895787n,838720Ki,99096941n,781104Ki,88443035n,821708Ki,,0.21822071075439453
1624502505.9393942,1624502509.7706294,3.83123517036438,9c0014ba-512c-49a1-b301-168f0852e9ba,1624502075,200,4.321000099182129,1624502505.592,1624502509.913,f0b33de9-7711-456d-91e3-22f97fb4d439,14,54386673n,782592Ki,45694837n,764244Ki,50222630n,763676Ki,39883314n,723796Ki,51296387n,783668Ki,49208874n,785896Ki,59005101n,755944Ki,63895787n,838720Ki,99096941n,781104Ki,88443035n,821708Ki,,0.3473942279815674
1624502508.2640069,1624502510.850961,2.586954116821289,7014f799-4774-437a-955a-baa59e269b67,1624502055,200,3.011000156402588,1624502507.925,1624502510.936,39367d33-e679-4125-9685-b21ad0f8f487,14,54386673n,782592Ki,45694837n,764244Ki,50222630n,763676Ki,39883314n,723796Ki,51296387n,783668Ki,49208874n,785896Ki,59005101n,755944Ki,63895787n,838720Ki,99096941n,781104Ki,88443035n,821708Ki,,0.3390069007873535
1624502510.139556,1624502512.9575455,2.8179895877838135,f5b37a8a-a16d-40c2-a79b-19f42b41dca7,1624502044,200,3.066999912261963,1624502509.926,1624502512.993,14e68ef5-5f06-4d7f-bfc4-bbee5ab5ccf9,14,54386673n,782592Ki,45694837n,764244Ki,50222630n,763676Ki,39883314n,723796Ki,51296387n,783668Ki,49208874n,785896Ki,59005101n,755944Ki,63895787n,838720Ki,99096941n,781104Ki,88443035n,821708Ki,,0.21355581283569336
1624502509.9438775,1624502512.9432044,2.9993269443511963,c010e29d-1a02-4684-8145-ec47528536ce,1624502046,200,3.3910000324249268,1624502509.592,1624502512.983,0484421c-17b5-4f20-bb96-698f13413f62,14,54386673n,782592Ki,45694837n,764244Ki,50222630n,763676Ki,39883314n,723796Ki,51296387n,783668Ki,49208874n,785896Ki,59005101n,755944Ki,63895787n,838720Ki,99096941n,781104Ki,88443035n,821708Ki,,0.35187745094299316
1624502510.9085052,1624502513.53984,2.6313347816467285,7014f799-4774-437a-955a-baa59e269b67,1624502055,200,3.006999969482422,1624502510.592,1624502513.599,16e49535-9f7d-438b-9ea8-d1de8871a897,14,54386673n,782592Ki,45694837n,764244Ki,50222630n,763676Ki,39883314n,723796Ki,51296387n,783668Ki,49208874n,785896Ki,59005101n,755944Ki,63895787n,838720Ki,99096941n,781104Ki,88443035n,821708Ki,,0.31650519371032715
1624502511.9631033,1624502515.0340817,3.0709784030914307,c010e29d-1a02-4684-8145-ec47528536ce,1624502046,200,3.4819998741149902,1624502511.592,1624502515.074,020cde07-bf59-4562-9578-a219dd1334bc,14,54386673n,782592Ki,45694837n,764244Ki,50222630n,763676Ki,39883314n,723796Ki,51296387n,783668Ki,49208874n,785896Ki,59005101n,755944Ki,63895787n,838720Ki,99096941n,781104Ki,88443035n,821708Ki,,0.37110328674316406
1624502512.5961637,1624502515.4341736,2.838009834289551,17149afe-1205-444e-9ad3-a888692449ee,1624502051,200,3.2139999866485596,1624502512.259,1624502515.473,aa16fc7f-d39d-4ea7-be3e-dc326daa51e9,14,54386673n,782592Ki,45694837n,764244Ki,50222630n,763676Ki,39883314n,723796Ki,51296387n,783668Ki,49208874n,785896Ki,59005101n,755944Ki,63895787n,838720Ki,99096941n,781104Ki,88443035n,821708Ki,,0.33716368675231934
1624502511.726497,1624502516.4599724,4.73347544670105,4c9bf0be-da05-473c-90df-6123a4d8cae5,1624502040,200,5.253999948501587,1624502511.26,1624502516.514,bb420c69-7fea-4d8a-a9f4-d6a9da60ae72,14,54386673n,782592Ki,45694837n,764244Ki,50222630n,763676Ki,39883314n,723796Ki,51296387n,783668Ki,49208874n,785896Ki,59005101n,755944Ki,63895787n,838720Ki,99096941n,781104Ki,88443035n,821708Ki,,0.46649694442749023
1624502513.6001422,1624502516.7659938,3.165851593017578,a0065060-7658-4c57-ba8a-e358ed6bb063,1624502050,200,3.549999952316284,1624502513.259,1624502516.809,e6dd479a-9427-4c42-b989-90a055d3a4ce,14,54386673n,782592Ki,45694837n,764244Ki,50222630n,763676Ki,39883314n,723796Ki,51296387n,783668Ki,49208874n,785896Ki,59005101n,755944Ki,63895787n,838720Ki,99096941n,781104Ki,88443035n,821708Ki,,0.3411421775817871
1624502512.3243062,1624502517.1683981,4.844091892242432,4c9bf0be-da05-473c-90df-6123a4d8cae5,1624502040,200,5.289999961853027,1624502511.925,1624502517.215,202b1391-c98c-4d65-8acc-17f07a93dfc6,14,50844766n,783316Ki,257134927n,856360Ki,459180331n,940072Ki,40919758n,722428Ki,208679311n,872952Ki,190490779n,873236Ki,398161311n,847416Ki,59999951n,839700Ki,123360758n,785348Ki,889076062n,835036Ki,,0.3993062973022461
1624502514.5093474,1624502517.3233778,2.814030408859253,17149afe-1205-444e-9ad3-a888692449ee,1624502051,200,3.1040000915527344,1624502514.258,1624502517.362,d16cfd07-14a0-4b92-b35d-e17e65c2924c,14,50844766n,783316Ki,257134927n,856360Ki,459180331n,940072Ki,40919758n,722428Ki,208679311n,872952Ki,190490779n,873236Ki,398161311n,847416Ki,59999951n,839700Ki,123360758n,785348Ki,889076062n,835036Ki,,0.25134754180908203
1624502515.1346269,1624502517.8557415,2.7211146354675293,f5b37a8a-a16d-40c2-a79b-19f42b41dca7,1624502044,200,2.9660000801086426,1624502514.924,1624502517.89,ba76a3db-d1f3-4fe1-b28a-51b720ed57ab,14,50844766n,783316Ki,257134927n,856360Ki,459180331n,940072Ki,40919758n,722428Ki,208679311n,872952Ki,190490779n,873236Ki,398161311n,847416Ki,59999951n,839700Ki,123360758n,785348Ki,889076062n,835036Ki,,0.21062684059143066
1624502514.8768444,1624502518.6612775,3.784433126449585,9c0014ba-512c-49a1-b301-168f0852e9ba,1624502075,200,4.109999895095825,1624502514.592,1624502518.702,cbe7c9ae-e63f-4bea-b9b3-eb8755544ce3,14,50844766n,783316Ki,257134927n,856360Ki,459180331n,940072Ki,40919758n,722428Ki,208679311n,872952Ki,190490779n,873236Ki,398161311n,847416Ki,59999951n,839700Ki,123360758n,785348Ki,889076062n,835036Ki,,0.28484439849853516
1624502516.149696,1624502518.796219,2.6465229988098145,7014f799-4774-437a-955a-baa59e269b67,1624502055,200,2.9109997749328613,1624502515.926,1624502518.837,2ff5398b-e645-4483-bc12-5e05503b88c4,14,50844766n,783316Ki,257134927n,856360Ki,459180331n,940072Ki,40919758n,722428Ki,208679311n,872952Ki,190490779n,873236Ki,398161311n,847416Ki,59999951n,839700Ki,123360758n,785348Ki,889076062n,835036Ki,,0.22369599342346191
1624502515.8802974,1624502518.8280869,2.947789430618286,f5b37a8a-a16d-40c2-a79b-19f42b41dca7,1624502044,200,3.2789998054504395,1624502515.591,1624502518.87,7ff83e8b-4d40-4ce5-827f-2b61c80293d1,14,50844766n,783316Ki,257134927n,856360Ki,459180331n,940072Ki,40919758n,722428Ki,208679311n,872952Ki,190490779n,873236Ki,398161311n,847416Ki,59999951n,839700Ki,123360758n,785348Ki,889076062n,835036Ki,,0.28929734230041504
1624502513.4146373,1624502519.137567,5.7229297161102295,4c9bf0be-da05-473c-90df-6123a4d8cae5,1624502040,200,6.259999990463257,1624502512.925,1624502519.185,76cea3a1-59ec-48d3-9ac5-845be11089e3,14,50844766n,783316Ki,257134927n,856360Ki,459180331n,940072Ki,40919758n,722428Ki,208679311n,872952Ki,190490779n,873236Ki,398161311n,847416Ki,59999951n,839700Ki,123360758n,785348Ki,889076062n,835036Ki,,0.4896373748779297
1624502516.5321653,1624502519.4998648,2.9676995277404785,c010e29d-1a02-4684-8145-ec47528536ce,1624502046,200,3.2799999713897705,1624502516.26,1624502519.54,c2640483-ef42-4909-a56a-787ebe4e8f65,14,50844766n,783316Ki,257134927n,856360Ki,459180331n,940072Ki,40919758n,722428Ki,208679311n,872952Ki,190490779n,873236Ki,398161311n,847416Ki,59999951n,839700Ki,123360758n,785348Ki,889076062n,835036Ki,,0.27216529846191406
