executionStartTime,executionEndTime,executionLatency,containerId,hostId,statusCode,requestResponseLatency,requestTime,responseTime,requestId,replicas,s-2vcpu-2gb-10-default-pool-8tocqCpuUsage,s-2vcpu-2gb-10-default-pool-8tocqMemoryUsage,s-2vcpu-2gb-10-default-pool-8tocjCpuUsage,s-2vcpu-2gb-10-default-pool-8tocjMemoryUsage,s-2vcpu-2gb-10-default-pool-8tocxCpuUsage,s-2vcpu-2gb-10-default-pool-8tocxMemoryUsage,s-2vcpu-2gb-10-default-pool-8tocwCpuUsage,s-2vcpu-2gb-10-default-pool-8tocwMemoryUsage,s-2vcpu-2gb-10-default-pool-8tocrCpuUsage,s-2vcpu-2gb-10-default-pool-8tocrMemoryUsage,s-2vcpu-2gb-10-default-pool-8tocfCpuUsage,s-2vcpu-2gb-10-default-pool-8tocfMemoryUsage,s-2vcpu-2gb-10-default-pool-8tocoCpuUsage,s-2vcpu-2gb-10-default-pool-8tocoMemoryUsage,s-2vcpu-2gb-10-default-pool-8tocgCpuUsage,s-2vcpu-2gb-10-default-pool-8tocgMemoryUsage,s-2vcpu-2gb-10-default-pool-8tocyCpuUsage,s-2vcpu-2gb-10-default-pool-8tocyMemoryUsage,s-2vcpu-2gb-10-default-pool-8tocbCpuUsage,s-2vcpu-2gb-10-default-pool-8tocbMemoryUsage,functionInvocationRate,schedulingLatency
1624504620.156445,1624504624.9269862,4.770541191101074,77017fc0-b7cd-4666-9b18-8a0d248211cf,1624503420,200,5.0929999351501465,1624504619.88,1624504624.973,3668d5bf-3929-41b5-a04e-a1d7b71fbff0,14,52962346n,756488Ki,51754220n,754016Ki,67512120n,769096Ki,776457796n,777040Ki,76232809n,770136Ki,61469828n,745708Ki,40996345n,714156Ki,34957502n,851352Ki,72357618n,740204Ki,67708708n,780756Ki,,0.2764449119567871
1624504620.9496844,1624504624.5802815,3.6305971145629883,77017fc0-b7cd-4666-9b18-8a0d248211cf,1624503420,200,4.0899999141693115,1624504620.543,1624504624.633,48625e44-db25-4e80-a1bb-1af52f861e2c,14,52962346n,756488Ki,51754220n,754016Ki,67512120n,769096Ki,776457796n,777040Ki,76232809n,770136Ki,61469828n,745708Ki,40996345n,714156Ki,34957502n,851352Ki,72357618n,740204Ki,67708708n,780756Ki,,0.40668439865112305
1624504623.177448,1624504627.4628313,4.285383224487305,77017fc0-b7cd-4666-9b18-8a0d248211cf,1624503420,200,4.963000059127808,1624504622.542,1624504627.505,0983b16d-205c-46c7-b638-2be86dad12d0,14,52962346n,756488Ki,51754220n,754016Ki,67512120n,769096Ki,776457796n,777040Ki,76232809n,770136Ki,61469828n,745708Ki,40996345n,714156Ki,34957502n,851352Ki,72357618n,740204Ki,67708708n,780756Ki,,0.6354479789733887
1624504623.3218086,1624504628.206704,4.884895324707031,47feb847-67ef-45b9-9746-9f60bb00bc22,1624503408,200,5.358999967575073,1624504622.876,1624504628.235,f8bbd729-c87a-40cd-9e55-62d308113cd1,14,52962346n,756488Ki,51754220n,754016Ki,67512120n,769096Ki,776457796n,777040Ki,76232809n,770136Ki,61469828n,745708Ki,40996345n,714156Ki,34957502n,851352Ki,72357618n,740204Ki,67708708n,780756Ki,,0.44580864906311035
1624504627.166315,1624504630.974599,3.808283805847168,1a3500fb-b590-4892-84fc-28e813378809,1624503420,200,4.1579999923706055,1624504626.877,1624504631.035,cd655a9c-45bd-4c55-87d8-50e810ca0370,14,52962346n,756488Ki,51754220n,754016Ki,67512120n,769096Ki,776457796n,777040Ki,76232809n,770136Ki,61469828n,745708Ki,40996345n,714156Ki,34957502n,851352Ki,72357618n,740204Ki,67708708n,780756Ki,,0.28931498527526855
1624504626.3714905,1624504631.559136,5.187645435333252,47feb847-67ef-45b9-9746-9f60bb00bc22,1624503408,200,5.70799994468689,1624504625.878,1624504631.586,9c3f9fd2-1523-4d03-a5c6-29bb4ce1acaa,14,52962346n,756488Ki,51754220n,754016Ki,67512120n,769096Ki,776457796n,777040Ki,76232809n,770136Ki,61469828n,745708Ki,40996345n,714156Ki,34957502n,851352Ki,72357618n,740204Ki,67708708n,780756Ki,,0.49349045753479004
1624504627.818085,1624504632.2321584,4.414073467254639,1a3500fb-b590-4892-84fc-28e813378809,1624503420,200,4.742000102996826,1624504627.543,1624504632.285,f0f01296-7491-4679-86e8-97202aaa2315,14,52962346n,756488Ki,51754220n,754016Ki,67512120n,769096Ki,776457796n,777040Ki,76232809n,770136Ki,61469828n,745708Ki,40996345n,714156Ki,34957502n,851352Ki,72357618n,740204Ki,67708708n,780756Ki,,0.2750849723815918
1624504628.615718,1624504633.1077464,4.492028474807739,47feb847-67ef-45b9-9746-9f60bb00bc22,1624503408,200,4.926000118255615,1624504628.208,1624504633.134,92068415-aac5-4fbe-8a36-afeab90b0e8d,14,52962346n,756488Ki,51754220n,754016Ki,67512120n,769096Ki,776457796n,777040Ki,76232809n,770136Ki,61469828n,745708Ki,40996345n,714156Ki,34957502n,851352Ki,72357618n,740204Ki,67708708n,780756Ki,,0.4077179431915283
1624504629.780996,1624504633.9808881,4.199892044067383,1a3500fb-b590-4892-84fc-28e813378809,1624503420,200,4.819999933242798,1624504629.21,1624504634.03,c3df38a8-88d2-4070-8241-af94f1c43cc9,14,52962346n,756488Ki,51754220n,754016Ki,67512120n,769096Ki,776457796n,777040Ki,76232809n,770136Ki,61469828n,745708Ki,40996345n,714156Ki,34957502n,851352Ki,72357618n,740204Ki,67708708n,780756Ki,,0.5709960460662842
1624504628.2744136,1624504634.0807812,5.806367635726929,3a3bdaf2-6f2c-45b6-ad69-5d2af903b7db,1624503420,200,6.260999917984009,1624504627.875,1624504634.136,a1fb47c1-a805-43f3-912d-7bb522e04b36,14,52962346n,756488Ki,51754220n,754016Ki,67512120n,769096Ki,776457796n,777040Ki,76232809n,770136Ki,61469828n,745708Ki,40996345n,714156Ki,34957502n,851352Ki,72357618n,740204Ki,67708708n,780756Ki,,0.3994135856628418
